X,Y,Z,f=1/p
1.23397547,1.0962576,9.698329,1
1.1836994,1.0938635,9.69354,1
1.1765171,1.105834,9.822822,1
1.12992753,1.0747107,9.853945,1
1.33582002,1.0483756,9.978438,1
2.65184104,1.0316169,9.992803,1
2.94631517,1.0196465,9.616929,1
2.1569959,1.01007,9.53553,1
1.2982477,1.0268288,9.676782,1
1.4969579,1.0387993,9.516377,1
1.3078241,1.0268288,9.329637,1
1.9542308,1.0124642,9.73424,1
2.2558873,0.8903651,9.664811,1
1.6908798,0.9957055,9.83958,1
2.102665,0.8472713,9.324849,1
1.8034025,0.96937037,10.071808,1
2.102665,1.0555578,10.033502,1
3.414631,0.75150734,9.652841,1
3.0124226,0.84487724,8.252293,1
2.9334173,1.007676,9.15008,1
2.8592,1.1249868,9.825216,1
2.9094763,1.1417454,9.466101,1
3.09861,1.0771048,9.748605,1
3.3260493,1.5846537,10.007167,1
4.0658255,1.1345631,8.51325,1
4.602104,0.9765526,8.807724,1
5.033042,1.3069383,8.491703,1
5.5310144,1.3141207,8.422274,1
6.2683964,1.2063861,8.644925,1
6.8645277,1.2303271,8.063159,1
7.211672,1.2135684,6.9738445,1
7.7072496,1.3045442,6.1837916,1
8.454209,1.3165147,5.4535913,1
9.076675,0.9813409,4.3211827,1
8.406327,0.6078614,3.4712777,1
7.5133276,0.25114077,2.5375793,1
8.142976,0.5120975,0.9359273,1
9.19638,0.8496654,-0.6298133,1
9.787723,0.7778425,-3.0143359,1
10.505952,0.38042206,-4.4603715,1
9.581829,0.8113599,-4.0533743,1
7.8365316,1.2327212,-5.152266,1
7.556422,1.0651344,-5.6071444,1
6.893256,0.62462014,-5.9471064,1
5.930829,0.53603846,-7.452995,1
5.2389345,0.768266,-7.8791447,1
4.3722706,1.2087803,-8.877484,1
4.116102,0.97176445,-9.234204,1
2.9669344,1.0244346,-9.057041,1
1.985354,1.0579519,-9.952434,1
1.693274,1.2087803,-9.715418,1
0.36454922,1.4314314,-11.50381,1
1.5520221,0.70601946,-11.470292,1
1.0588379,1.0148582,-9.911734,1
1.1569959,0.49294472,-9.65796,1
0.9032214,0.45703322,-9.89737,1
1.0420792,0.8113599,-10.373795,1
1.2264247,0.8185421,-10.598841,1
1.645392,0.91191196,-10.910073,1
2.4354446,1.2470858,-10.823886,1
3.242256,1.3787613,-9.497555,1
4.709839,1.251874,-8.6739855,1
5.2006283,0.81614804,-7.5008764,1
4.563799,0.47139782,-8.836784,1
4.547039,0.7371428,-7.7666216,1
6.780734,1.0723166,-5.7436085,1
8.32014,1.0627402,-4.843427,1
8.849236,0.9334588,-3.9887342,1
9.340025,0.5384326,-3.2681103,1
9.507612,0.63180244,-2.3008943,1
10.1851425,0.6270142,-0.8931643,1
10.132472,0.6916549,0.85692203,1
9.325662,0.35887516,2.290987,1
6.9698677,0.37084568,1.8385025,1
4.764902,1.4266433,3.3443904,1
5.614808,2.2262723,10.397405,1
