X,Y,Z,rv=1/wave
12.842592,-0.84056824,1.6637332,1
14.559161,-0.8716916,2.195223,1
15.930979,-0.8070509,3.7226582,1
16.9365,-0.73522794,5.652302,1
17.535025,-1.0153375,6.284344,1
21.133356,-0.13909733,4.5797453,1
24.85139,1.3404557,2.410692,1
23.616035,0.58631456,3.5526772,1
21.58584,-0.52694136,5.60442,1
19.2085,-0.90999717,5.127994,1
17.15197,-1.8317251,2.6141906,1
15.097834,-3.261002,-0.45265004,1
13.65898,-3.6320875,-1.2307322,1
10.45807,-4.690279,0.5217482,1
5.8398533,-5.0158763,0.58399475,1
-1.1652799,-5.963939,1.2304014,1
-7.7370806,-5.7293177,2.9756992,1
-12.340933,-6.5217643,4.299636,1
-16.770018,-6.217714,3.8495455,1
-20.368347,-5.1499457,3.3611493,1
-20.42341,-4.086966,2.9661229,1
-17.004639,-2.6026251,1.6302159,1
-13.13338,-1.5683743,1.0364794,1
-9.082563,-0.78310996,0.18657434,1
-5.0844193,-0.2444377,-1.1852443,1
-2.5897686,-0.08163896,-2.0806372,1
-0.99769306,-0.9004208,-1.7095519,1
1.0732024,-1.9298832,-1.8364391,1
2.0930886,-2.8396409,-3.0263062,1
3.972456,-5.118822,-2.8108373,1
9.380725,-6.7803273,-1.6999755,1
13.005391,-6.335025,-1.0248396,1
12.270402,-6.751598,-0.72557735,1
16.321217,-7.1418357,0.15305696,1
20.307392,-6.179408,1.3812296,1
21.830038,-7.7786665,3.0810397,1
25.512161,-6.789903,4.2206306,1
30.010674,-5.461179,1.5272696,1
43.362564,-3.2873373,0.5193541,1
26.670906,-7.292664,0.40683144,1
22.505173,-4.38144,7.1294603,1
23.21622,-3.9074087,8.271446,1
24.96152,-6.196167,6.09521,1
25.397245,-6.488247,5.534991,1
26.465014,-5.9136634,6.6697936,1
24.118795,-6.835391,5.0370183,1
20.81494,-7.496163,2.3675983,1
19.88124,-7.785848,-0.69445395,1
17.989902,-8.774612,-2.4780576,1
13.984577,-11.640348,-2.0878196,1
7.5205107,-14.146969,-0.52926123,1
0.33821413,-13.620267,2.0539715,1
-5.484234,-11.803146,2.4513917,1
-10.037809,-9.100209,0.15545106,1
-15.769281,-7.340546,-1.1134213,1
-19.33649,-7.0604367,1.5703634,1
-22.003517,-5.9687276,3.380302,1
-22.958761,-4.5777564,2.6716487,1
-19.939802,-3.4238007,1.3620769,1
-15.199487,-3.328037,-0.012135863,1
-10.16709,-3.5889938,-2.1620364,1
-6.195281,-4.058237,-3.4476676,1
-3.1212585,-5.3893557,-3.3016276,1
0.6039591,-6.382907,-3.146011,1
3.0076342,-7.4913745,-3.2992334,1
4.7433558,-9.60297,-3.0287004,1
11.535415,-12.329848,-1.180456,1
18.313107,-11.420092,-0.38800934,1
21.37037,-11.242928,1.3501064,1
27.863167,-10.414569,5.484715,1
35.339935,-4.4149575,8.510856,1
27.863167,-4.079784,3.0666752,1
22.933718,-6.60077,-2.68395,1
39.14416,-3.5913877,5.542173,1
34.279354,-2.8085175,3.5311303,1
26.694847,-3.091021,4.7976084,1
26.177721,-3.4836533,5.704972,1
28.658007,-3.9744434,3.3898785,1
28.164824,-4.740555,1.6014867,1
24.365389,-5.956757,1.7954087,1
21.968895,-6.5792227,2.4753327,1
20.012917,-7.9630117,0.71806425,1
16.558231,-9.25822,-1.0392042,1
11.671878,-10.598915,-0.72318316,1
6.7591867,-11.027458,0.2703678,1
4.0658255,-10.500757,0.9862033,1
1.9255016,-10.026725,1.1418197,1
-1.1269742,-9.684369,0.75397575,1
-5.783497,-8.422679,0.13390417,1
-11.292317,-6.6869574,-0.22042245,1
-16.284014,-5.425267,1.7379503,1
-21.941269,-4.826742,3.3348143,1
-26.102213,-3.7326396,3.715476,1
-23.945131,-2.5475607,2.5112443,1
-17.888062,-1.9538243,1.0005679,1
-11.570033,-2.265057,-1.154121,1
-6.5783367,-2.238722,-2.9137836,1
-3.7197833,-2.6457188,-2.9592714,1
-2.1755896,-3.5865996,-2.8611133,1
-0.3848037,-4.8842006,-2.224283,1
2.516844,-6.6486516,-0.82612944,1
6.763975,-7.6350203,-0.29942766,1
7.8437138,-8.99008,-1.1948206,1
11.712577,-11.645136,-0.14381126,1
